uid,nombre_entidad,dpto_entidad,munp_entidad,orden_entidad,tipo_contrato,tipo_proceso,valor_contrato_reg,ruta_web,error_valor_estimado,tipo_error_valor_estimado,error_valor_contrato,tipo_error_valor_contrato,valor_contrato_real,error_adicion,tipo_error_adicion,tipo_consulta
CO1.PCCNTR.880880,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,490,557.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.880045,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$35,002,063.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767962&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.882658,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$33,742,402.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.882631,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$33,742,402.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.882237,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$33,086,751.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.883021,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$32,946,761.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.883414,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$32,657,437.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.879474,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$32,657,436.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.876396,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$29,402,543.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767971&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.883237,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$26,147,649.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.888044,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$23,965,061.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767962&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.791425,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$20,105,551.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.701722&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.791097,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$20,105,095.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.701722&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.883366,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$18,648,525.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.883333,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$18,648,525.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.880611,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$18,648,525.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768720&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.882447,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$18,648,525.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.882544,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$17,556,204.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.767856&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.881317,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial,"$13,738,599.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.768711&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Adiciones altas y bajas
CO1.PCCNTR.1737880,MUNICIPIO DE SANTIAGO DE CALI - SECRETARIA DE EDUCACION,Valle del Cauca,Cali,Territorial,Prestación de servicios,Mínima cuantía,$162.00 ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1360522&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$88,000,000 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.399744,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.400661&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$7,191,842 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.407980,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.409355&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$38,232,000 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.585901,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E,Distrito Capital de Bogotá,Bogotá,Territorial,Prestación de servicios,Contratación régimen especial, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.548804&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$4,650,000 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.642536,MUNICIPIO DE MEDELLIN,Antioquia,Medellín,Territorial,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.593351&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1885567,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR OCCIDENTE ESE.,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación régimen especial, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1480516&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.697041,BIBLIOTECA DEPARTAMENTAL JORGE GARCES BORRERO,Valle del Cauca,No Definido,Territorial,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.632743&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$40,000,000 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.789872,MUNICIPIO DE MEDELLIN,Antioquia,Medellín,Territorial,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.702473&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1741510,GOBERNACION DEL DEPARTAMENTO DEL CESAR,Cesar,Valledupar,Territorial,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1368508&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1878585,DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,Atlántico,Barranquilla,Territorial,Otro,Contratación régimen especial, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1475478&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1824254,AREA METROPOLITANA CENTRO OCCIDENTE,Risaralda,Pereira,Territorial,Consultoría,Concurso de méritos abierto, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1401340&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1830627,DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,Atlántico,Barranquilla,Territorial,Asociación Público Privada,Contratación régimen especial, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1439345&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.322936,AGENCIA NACIONAL DE MINERIA,Distrito Capital de Bogotá,Bogotá,Nacional,Prestación de servicios,Contratación directa,"$34,320,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.328420&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$22,800,000 ",0,,Adiciones altas y bajas
CO1.PCCNTR.696782,RADIO TELEVISION NACIONAL DE COLOMBIA.,Distrito Capital de Bogotá,Bogotá,Nacional,Prestación de servicios,Selección Abreviada de Menor Cuantía,$168.00 ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.626837&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$259,052,544 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.917427,ICBF REGIONAL TOLIMA,Tolima,Ibagué,Nacional,Prestación de servicios,Mínima cuantía,$100.00 ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.790209&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$1,450,000 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.239332,FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Distrito Capital de Bogotá,Bogotá,Nacional,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.253232&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$13,000,000 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.267867,MINISTERIO DEL INTERIOR,Distrito Capital de Bogotá,Bogotá,Nacional,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.277952&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1649513,INSTITUTO NACIONAL DE VIAS,Distrito Capital de Bogotá,Bogotá,Nacional,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1299339&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.308732,COMISIÓN DE REGULACIÓN DE AGUA POTABLE Y SANEAMIENTO BÁSICO,Distrito Capital de Bogotá,Bogotá,Nacional,Prestación de servicios,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.316269&isFromPublicArea=True&isModal=true&asPopupView=true,1,Digitación,1,Digitación,"$40,322,000 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.605331,EJERCITO NACIONAL - DIRECCIÓN DE ADQUISICIONES,Distrito Capital de Bogotá,No Definido,Nacional,Otro,Contratación régimen especial, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.564628&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Digitación,"$24,967,140 ",0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1786525,SUPERINTENDENCIA DE SOCIEDADES,No Definido,No Definido,Nacional,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1404703&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.329443,BASE NAVAL ARC BOLIVAR,Bolívar,Cartagena,Nacional,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.333225&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.650001,INSTITUTO NACIONAL DE SALUD,Distrito Capital de Bogotá,Bogotá,Nacional,Otro,Contratación Directa (con ofertas), $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.593459&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1846744,INSTITUTO NACIONAL DE METROLOGIA,Distrito Capital de Bogotá,Bogotá,Nacional,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1451278&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.557942,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,Distrito Capital de Bogotá,Bogotá,Nacional,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.527306&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1579905,INSTITUTO DE HIDROLÓGICA  METEOROLOGÍA Y ESTUDIOS AMBIENTALES,Distrito Capital de Bogotá,Bogotá,Nacional,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1254917&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.609235,PARQUES NACIONALES NATURALES DE COLOMBIA,Distrito Capital de Bogotá,No Definido,Nacional,Otro,Contratación régimen especial, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.567308&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1891656,AGENCIA NACIONAL DE INFRAESTRUCTURA - ANI,Distrito Capital de Bogotá,Bogotá,Nacional,Otro,Contratación directa, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1485814&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1590486,MINISTERIO DE JUSTICIA Y DEL DERECHO,Distrito Capital de Bogotá,No Definido,Nacional,Consultoría,Concurso de méritos abierto, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1207020&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1249607,INSTITUTO DE CASAS FISCALES DE EJERCITO,Distrito Capital de Bogotá,No Definido,Nacional,Consultoría,Concurso de méritos abierto, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1011288&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1140738,PARQUES NACIONALES NATURALES DE COLOMBIA-SUBCUENTA FONDO NACIONAL AMBIENTAL,Distrito Capital de Bogotá,No Definido,Nacional,Concesión,Licitación pública, $-   ,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.915140&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Cuantia contrato cercano a cero
CO1.PCCNTR.1743532,DEPARTAMENTO DE ANTIOQUIA,Antioquia,Medellín,Territorial,Suministros,Contratación Directa (con ofertas),"$10,000,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1370817&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Ceros adicionales
CO1.PCCNTR.1865940,ALCALDIA LOCAL DE SUBA,Distrito Capital de Bogotá,Bogotá,Territorial,Prestación de servicios,Contratación directa,"$26,145,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1466756&isFromPublicArea=True&isModal=true&asPopupView=true,0,,1,Agregación de ceros,"$26,145,000 ",0,,Ceros adicionales
CO1.PCCNTR.1515650,MUNICIPIO DE PEREIRA-OFICIAL,Risaralda,Pereira,Territorial,Prestación de servicios,Contratación directa,"$23,364,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1212915&isFromPublicArea=True&isModal=true&asPopupView=true,1,Agregación de ceros,1,Agregación de ceros,"$23,364,000 ",0,,Ceros adicionales
CO1.PCCNTR.1211938,HOSPITAL CENTRAL,Distrito Capital de Bogotá,Bogotá,Territorial,Prestación de servicios,Mínima cuantía,"$19,000,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.989101&isFromPublicArea=True&isModal=true&asPopupView=true,1,Eliminacion de ceros,1,Agregación de ceros,"$19,000,000,000 ",0,,Ceros adicionales
CO1.PCCNTR.479605,Secretaria Distrital de Integración social...,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación directa,"$14,214,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.469754&isFromPublicArea=True&isModal=true&asPopupView=true,1,Agregación de ceros,1,Agregación de ceros,"$14,214,000 ",0,,Ceros adicionales
CO1.PCCNTR.813340,SECRETARIA DE CIENCIA TECNOLOGÍA E INNOVACIÓN - DEPARTAMENTO DE CUNDINAMARCA,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación directa,"$12,000,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.718387&isFromPublicArea=True&isModal=true&asPopupView=true,1,Agregación de ceros,1,Agregación de ceros,"$12,000,000 ",0,,Ceros adicionales
CO1.PCCNTR.1913312,MUNICIPIO DE FLORENCIA,Caquetá,Florencia,Territorial,Prestación de servicios,Contratación directa,"$11,250,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1499668&isFromPublicArea=True&isModal=true&asPopupView=true,0,,0,,,0,,Ceros adicionales
CO1.PCCNTR.1545098,SECRETARIA DE EDUCACION DEL DISTRITO,Distrito Capital de Bogotá,No Definido,Territorial,Prestación de servicios,Contratación directa,"$10,000,000,000.00 ",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1232594&isFromPublicArea=True&isModal=true&asPopupView=true,1,Digitación,1,Digitación,,0,,Ceros adicionales
