uid,nivel_entidad,orden_entidad,tipo_contrato,nombre_entidad,dpto_entidad,munp_entidad,cuantia_contrato_reg,valor_adicion_reg,valor_total_reg,ruta_web,error_cuantia_proceso,tipo_error_proceso,error_cuantia_contrato,tipo_error_contrato,cuantia_contrato_real,error_adicion,tipo_error_adicion,valor_adicion_real,cuantia_proceso_real,cuantia_proceso_reg,moneda,tipo_consulta
14-12-3009768-2820884,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Otro Tipo de Contrato,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ZIPAQUIRÁ,Cundinamarca,Zipaquirá,1,,11000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3009768,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
17-12-6859678-6235507,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Otro Tipo de Contrato,ANTIOQUIA - ALCALDÍA MUNICIPIO DE MEDELLÍN,Antioquia,Medellín,1,3300850000.00,10800850000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6859678,0,,1,Digitación,10800850800,1,Digitación,3300850800,1,,Pesos (COP),Ceros adicionales
19-4-9012259-8198213,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,META - E.S.E SOLUCIÓN SALUD - VILLAVICENCIO,Meta,Villavicencio,1,,18000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9012259,0,,1,Agregación de ceros,18000000,0,,,1,,Pesos (COP),Ceros adicionales
19-12-9625879-8760947,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,CÓRDOBA - ALCALDÍA MUNICIPIO DE MOÑITOS,Córdoba,Moñitos,1,,5E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9625879,0,,1,Agregación de ceros,500000000,0,,,1,,Pesos (COP),Ceros adicionales
19-11-9516980-8949677,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Prestación de Servicios,BOYACÁ - ALCALDÍA MUNICIPIO DE DUITAMA,Boyacá,Duitama,1,,2.3E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9516980,0,,1,Agregación de ceros,230000000,0,,,1,,Pesos (COP),Ceros adicionales
18-12-7524266-6837865,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Otro Tipo de Contrato,CUNDINAMARCA - GOBERNACIÓN,Bogotá D.C.,Bogotá D.C.,1,,40000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-7524266,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
19-12-9123885-8301513,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,RISARALDA - AGUAS Y ASEO DE RISARALDA S.A. ESP,Risaralda,Pereira,1,,26100000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9123885,0,,1,Agregación de ceros,26100000,0,,,1,,Pesos (COP),Ceros adicionales
17-12-7281159-6613547,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Otro Tipo de Contrato,CALDAS - ALCALDÍA MUNICIPIO DE MANIZALES,Caldas,Manizales,1,,14000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-7281159,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
14-19-2966515-5898553,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,No definido,RISARALDA - AEROPUERTO INTERNACIONAL MATECAÑA DE PEREIRA,Risaralda,Pereira,1,,2.87324E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-19-2966515 ,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
14-12-3248016-3045154,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,META - ALCALDÍA MUNICIPIO DE SAN JUAN DE ARAMA,Meta,San Juan de Arama,1,,2.125E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3248016 ,1,Agregación de ceros,1,Agregación de ceros,212500000,0,,,1,,Pesos (COP),Ceros adicionales
18-12-8732047-7937501,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,HUILA - ALCALDÍA MUNICIPIO DE ALGECIRAS,Huila,Algeciras,1,,3.12E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8732047,1,Agregación de ceros,1,Agregación de ceros,312000000,0,,,1,,Pesos (COP),Ceros adicionales
17-1-181682-6539193,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Concesión,VALLE DEL CAUCA - E.S.E. HOSPITAL ISAÍAS DUARTE CANCINO - CALI,Valle del Cauca,Cali,1,,12000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-181682,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
18-13-8252845-8118585,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,CAUCA - ALCALDÍA MUNICIPIO DE GUACHENÉ,Cauca,Guachené,1,,21810000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-13-8252845,0,,1,Agregación de ceros,21810000,0,,,1,,Pesos (COP),Ceros adicionales
14-13-3256354-3071247,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Suministro,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBASOSA,Boyacá,Tibasosa,1,,16000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-13-3256354,0,,1,Agregación de ceros,16000000,0,,,1,,Pesos (COP),Ceros adicionales
18-4-7911392-7183453,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suministro,CUNDINAMARCA - EMPRESA DE ACUEDUCTO  ALCANTARILLADO Y ASEO DE EL ROSAL S.A. E.S.P.,Cundinamarca,El Rosal,1,,51840000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7911392 ,1,Agregación de ceros,1,Agregación de ceros,51840000,0,,,1,,Pesos (COP),Ceros adicionales
18-4-8033274-7298470,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Suministro,ANTIOQUIA - ALIANZA MEDELLIN ANTIOQUIA EPS SAS,Antioquia,Medellín,1,,40920000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8033274 ,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
14-12-3216159-3013789,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,ANTIOQUIA - ALCALDÍA MUNICIPIO DE PUERTO TRIUNFO,Antioquia,Puerto Triunfo,1,,1.45E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3216159,0,,1,Agregación de ceros,145000000,0,,,1,,Pesos (COP),Ceros adicionales
16-4-4641912-4271627,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Prestación de Servicios,CAUCA - HOSPITAL UNIVERSITARIO SAN JOSÉ DE POPAYÁN,Cauca,Popayán,1,7965720000.00,15813720000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-4-4641912,0,,0,,,1,Digitación,117720000,1,,Pesos (COP),Ceros adicionales
18-13-8752513-8145419,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Prestación de Servicios,VALLE DEL CAUCA - ESTABLECIMIENTO PÚBLICO AMBIENTAL EPA - BUENAVENTURA,Valle del Cauca,Buenaventura,1,,17500000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-13-8752513,1,Digitación,1,Agregación de ceros,17500000,0,,,1,,Pesos (COP),Ceros adicionales
20-4-10350122-9478660,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,SANTANDER - E.S.E. NUESTRA SEÑORA DE LA PAZ - LA PAZ,Santander,La Paz,1,,14400000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10350122,1,Agregación de ceros,1,Agregación de ceros,14400000,0,,,1,,Pesos (COP),Ceros adicionales
17-12-6799653-6183790,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Otro Tipo de Contrato,SANTANDER - ALCALDÍA MUNICIPIO DE FLORIDABLANCA,Santander,Floridablanca,1,,20000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6799653,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
19-12-9152790-8327942,TERRITORIAL,DISTRITO CAPITAL,Prestación de Servicios,BOLÍVAR - ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,Bolívar,Cartagena,1,,21600000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9152790,0,,1,Agregación de ceros,21600000,0,,,1,,Pesos (COP),Ceros adicionales
16-1-167138-9137983,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Concesión,SAN ANDRÉS  PROVIDENCIA Y SANTA CATALINA - GOBERNACIÓN,"San Andrés, Providencia y Santa Catalina",San Andrés,1,,30000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-1-167138,1,Digitación,0,,,0,,,1,,Pesos (COP),Ceros adicionales
19-4-9978946-9103939,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,HUILA - E.S.E. HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO - NEIVA,Huila,Neiva,1,,12600000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9978946,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
17-12-6428894-5845198,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,META - INSTITUTO DE CULTURA DEL META,Meta,Villavicencio,1,,20000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6428894,0,,1,Agregación de ceros,2000000,0,,,1,,Pesos (COP),Ceros adicionales
15-12-3349033-3156099,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,Prestación de Servicios,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CANDELARIA,Valle del Cauca,Candelaria,1,,10080000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3349033 ,1,Agregación de ceros,1,Agregación de ceros y digitación,10080000,0,,,1,,Pesos (COP),Ceros adicionales
15-4-3851567-3589442,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suministro,CUNDINAMARCA - EMPRESA DE LICORES DE CUNDINAMARCA,Cundinamarca,Agua de Dios,1,,13800000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-3851567 ,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
14-4-2243421-2104010,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,BOGOTÁ D.C. - E.S.E. HOSPITAL UNIVERSITARIO DE LA SAMARITANA,Bogotá D.C.,Bogotá D.C.,1,6620000000.00,26120000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-4-2243421,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
16-4-4686645-4310285,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,ANTIOQUIA - E.S.E. SANTA GERTRUDIS - ENVIGADO,Antioquia,Envigado,1,,37900000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-4-4686645 ,0,,1,Agregación de ceros,37900000,0,,,1,,Pesos (COP),Ceros adicionales
16-4-4744411-6230867,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Otro Tipo de Contrato,ANTIOQUIA - EMPRESA DE TRANSPORTE MASIVO DEL VALLE DE ABURRÁ LTDA,Antioquia,Medellín,1,171312906716.00,3.29313E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-4-4744411,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
20-4-10419472-9541575,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,ANTIOQUIA - E.S.E. HOSPITAL SAN VICENTE DE PAÚL - REMEDIOS,Antioquia,Remedios,1,,1.628E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10419472 ,0,,1,Agregación de ceros,162800000,0,,,1,,Pesos (COP),Ceros adicionales
18-12-7955358-7227303,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,ATLÁNTICO - GOBERNACIÓN,Atlántico,Barranquilla,1,,15000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-7955358,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
19-4-9760260-9094493,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suministro,CÓRDOBA - E.S.E. CENTRO DE SALUD COTORRA,Córdoba,Cotorra,1,,1.162E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9760260 ,0,,1,Agregación de ceros,116200000,0,,,1,,Pesos (COP),Ceros adicionales
15-4-4098025-3789660,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Otro Tipo de Contrato,ANTIOQUIA - E.S.E. HOSPITAL FRANCISCO VALDERRAMA DE TURBO,Antioquia,Turbo,1,,1E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-4098025,0,,1,Agregación de ceros,100000000,0,,,1,,Pesos (COP),Ceros adicionales
18-4-8370821-7614876,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suministro,CALDAS - INDUSTRIA LICORERA DE CALDAS,Caldas,Manizales,1,,10350000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-8370821,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
14-12-2855290-2674658,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,HUILA - ALCALDÍA MUNICIPIO DE BARAYA,Huila,Baraya,1,,51280000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-2855290,0,,1,Agregación de ceros,51280000,0,,,1,,Pesos (COP),Ceros adicionales
17-12-6865928-6240444,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Prestación de Servicios,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,Valle del Cauca,Cali,1,,44500000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6865928 ,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
20-4-10375897-9502437,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Prestación de Servicios,MAGDALENA - EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTANDER HERRERA DE PIVIJAY,Magdalena,Pivijay,1,,35210000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-4-10375897 ,1,Agregación de ceros,1,Agregación de ceros,35210000,0,,,1,,Pesos (COP),Ceros adicionales
18-12-8530997-7760928,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Otro Tipo de Contrato,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE CÚCUTA,Norte De Santander,San José de Cúcuta,1,,20000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8530997,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
19-12-9656974-8788540,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 3,Prestación de Servicios,ATLÁNTICO - ALCALDÍA MUNICIPIO DE SOLEDAD,Atlántico,Soledad,1,,1.5E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9656974,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
18-12-8547118-8060019,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Otro Tipo de Contrato,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE LA CALERA,Cundinamarca,La Calera,1,,13500000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-8547118,0,,1,Digitación,13508000,0,,,1,,Pesos (COP),Ceros adicionales
15-12-3350180-3157252,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,Prestación de Servicios,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CANDELARIA,Valle del Cauca,Candelaria,1,,15000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3350180,0,,1,Agregación de ceros,15000000,0,,,1,,Pesos (COP),Ceros adicionales
17-12-6548405-6097721,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE NARIÑO,Cundinamarca,Nariño,1,,27000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6548405 ,0,,1,Agregación de ceros,27000000,0,,,1,,Pesos (COP),Ceros adicionales
15-1-141537-4041081,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Obra,ANTIOQUIA - ALCALDÍA MUNICIPIO DE BELLO,Antioquia,Bello,1,3712918660.00,13712918660,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-141537,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
19-4-8985144-8173384,TERRITORIAL,DISTRITO CAPITAL,Prestación de Servicios,BOGOTÁ D.C. - ENTIDAD PROMOTORA DE SALUD CONVIDA,Bogotá D.C.,Bogotá D.C.,1,6100000000.00,10100000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-8985144,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
14-4-3143012-2945655,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Otro Tipo de Contrato,PUTUMAYO - E.S.E. HOSPITAL LOCAL DE PUERTO ASÍS,Putumayo,Puerto Asís,1,,22140000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-4-3143012,0,,1,Agregación de ceros,22140000,0,,,1,,Pesos (COP),Ceros adicionales
20-12-10382517-9508534,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,Prestación de Servicios,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE LOS PATIOS,Norte De Santander,Los Patios,1,,43600000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-10382517,0,,1,Agregación de ceros,43600000,0,,,1,,Pesos (COP),Ceros adicionales
20-12-10298384-9438357,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Prestación de Servicios,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE YUMBO,Valle del Cauca,Yumbo,1,,63250000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-12-10298384,0,,1,Agregación de ceros,63250000,0,,,1,,Pesos (COP),Ceros adicionales
19-12-10093067-9215951,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,NARIÑO - ALCALDÍA MUNICIPIO DE LOS ANDES,Nariño,Los Andes,1,,2.5235E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-10093067 ,1,Agregación de ceros,1,Agregación de ceros,252350000,0,,,1,,Pesos (COP),Ceros adicionales
19-4-9152862-8327976,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,BOYACÁ - E.S.E. HOSPITAL REGIONAL DE CHIQUINQUIRÁ,Boyacá,Chiquinquirá,1,500948000000.00,5.04058E+11,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9152862 ,0,,0,,,1,Agregación de ceros,1448000000,1,,Pesos (COP),Ceros adicionales
15-12-3410928-3216568,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,BOYACÁ - E.S.E. HOSPITAL JOSÉ CAYETANO VÁSQUEZ - PUERTO BOYACÁ,Boyacá,Puerto Boyacá,1,5520000.00,,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3410928,0,,1,Agregación de ceros,38850000,0,,,1,,Pesos (COP),Ceros adicionales
17-12-6857405-6233390,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Prestación de Servicios,CUNDINAMARCA - INSTITUTO DEPARTAMENTAL PARA LA RECREACIÓN Y EL DEPORTE DE CUNDINAMARCA,Bogotá D.C.,Bogotá D.C.,1,,15515000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6857405,0,,1,Agregación de ceros,15515000,0,,,1,,Pesos (COP),Ceros adicionales
16-4-5498665-5014382,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Suministro,CAQUETÁ - E.S.E. FABIO JARAMILLO LONDOÑO,Caquetá,Florencia,1,,50000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=16-4-5498665,0,,1,Agregación de ceros,50000000,0,,,1,,Pesos (COP),Ceros adicionales
18-12-7775267-7059183,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Prestación de Servicios,ANTIOQUIA - ALCALDÍA MUNICIPIO DE EL PEÑOL,Antioquia,El Peñol,1,,14310000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-12-7775267,1,Digitación,1,Agregación de ceros,14310000,0,,,1,,Pesos (COP),Ceros adicionales
15-12-3354818-3161860,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,Prestación de Servicios,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CANDELARIA,Valle del Cauca,Candelaria,1,,12000000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3354818,1,Agregación de ceros,1,Agregación de ceros,12000000,0,,,1,,Pesos (COP),Ceros adicionales
14-12-3092406-2899183,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Otro Tipo de Contrato,SANTANDER - ALCALDÍA MUNICIPIO DE BARRANCABERMEJA,Santander,Barrancabermeja,1,,59900000000,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=14-12-3092406,0,,0,,,0,,,1,,Pesos (COP),Ceros adicionales
